date,stadium,away_team,home_team,away_score,home_score,away_result,home_result,away_hit,home_hit,away_hr,home_hr,away_ab,home_ab,away_avg,home_avg,raw_date,game_id
2025-08-26,,KIA,SSG,5,9,패,승,12.0,15.0,2.0,5.0,39.0,37.0,0.3077,0.4054,20250826,20250826HTSK0
2025-08-26,,LG,NC,7,9,패,승,13.0,16.0,0.0,1.0,38.0,39.0,0.3421,0.4103,20250826,20250826LGNC0
2025-08-26,,KT,롯데,3,4,패,승,7.0,9.0,0.0,0.0,34.0,29.0,0.2059,0.3103,20250826,20250826KTLT0
2025-08-26,,삼성,두산,6,2,승,패,10.0,6.0,2.0,1.0,32.0,31.0,0.3125,0.1935,20250826,20250826SSOB0
2025-08-26,,LG,NC,7,9,패,승,13.0,16.0,0.0,1.0,38.0,39.0,0.3421,0.4103,20250826,20250826LGNC0
2025-08-26,,삼성,두산,6,2,승,패,10.0,6.0,2.0,1.0,32.0,31.0,0.3125,0.1935,20250826,20250826SSOB0
2025-08-26,,한화,키움,3,1,승,패,8.0,5.0,1.0,0.0,33.0,32.0,0.2424,0.1562,20250826,20250826HHWO0
2025-08-26,,KT,롯데,3,4,패,승,7.0,9.0,0.0,0.0,34.0,29.0,0.2059,0.3103,20250826,20250826KTLT0
2025-08-26,,KIA,SSG,5,9,패,승,12.0,15.0,2.0,5.0,39.0,37.0,0.3077,0.4054,20250826,20250826HTSK0
2025-08-27,,삼성,두산,14,1,승,패,13.0,5.0,3.0,0.0,40.0,33.0,0.325,0.1515,20250827,20250827SSOB0
2025-08-27,,KIA,SSG,4,2,승,패,7.0,10.0,0.0,1.0,37.0,39.0,0.1892,0.2564,20250827,20250827HTSK0
2025-08-27,,KT,롯데,7,2,승,패,10.0,12.0,1.0,0.0,36.0,36.0,0.2778,0.3333,20250827,20250827KTLT0
2025-08-27,,LG,NC,10,1,승,패,14.0,9.0,1.0,1.0,36.0,36.0,0.3889,0.25,20250827,20250827LGNC0
2025-08-27,,한화,키움,3,1,승,패,6.0,3.0,0.0,0.0,32.0,30.0,0.1875,0.1,20250827,20250827HHWO0
2025-08-28,,KT,롯데,2,3,패,승,9.0,9.0,0.0,1.0,38.0,40.0,0.2368,0.225,20250828,20250828KTLT0
